query,name,site,subtypes,category,phone,full_address,city,rating,reviews_link,photos_count,photo,about,description,place_id,email_1,email_1_full_name,email_1_title,email_2,email_2_full_name,email_2_title,email_3,email_3_full_name,email_3_title,phone_1,phone_2,phone_3,facebook,instagram,linkedin,twitter,website_title,website_description,website_keywords
"Outdoor wedding venues with lodge, 94512, California, USA",The Elks Tower Events,https://www.elkstower.com/,"Wedding venue, Dance hall, Event management company, Event planner, Funeral celebrant service, Photographer, Wedding photographer, Wedding planner, Wedding service, Event venue",Event venue,+1 916-309-4529,"921 11th St, Sacramento, CA 95814",Sacramento,4.6,"https://search.google.com/local/reviews?placeid=ChIJmU-u5SnRmoARNAlBxUxLx8o&q=Outdoor+wedding+venues+with+lodge,+94512,+California,+USA&authuser=0&hl=en&gl=US",139.0,https://lh5.googleusercontent.com/p/AF1QipMPsN5MyPya8FksZNzpHzvIe0p4KI6TLtrPWCqJ=w800-h500-k-no,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",,ChIJmU-u5SnRmoARNAlBxUxLx8o,events@elkstower.com,,,,,,,,,19163094529,,,https://www.facebook.com/107779887434628,,,,Event Center | The Elks Tower | Sacramento,"The Elks Tower welcomes all types of special events in the Sacramento area. Our team, our food, and our value speak for themselves, and will ensure a memorable experience. We look forward to hosting your special event at The Elks Tower event center.",
"Outdoor wedding venues with lodge, 94562, California, USA",Vizcaya,http://vizcayasacramento.com/,"Wedding venue, Banquet hall, Bed & breakfast, Hotel, Event venue",Event venue,+1 916-594-9285,"2019 21st Street, Sacramento, CA 95818",Sacramento,4.5,"https://search.google.com/local/reviews?placeid=ChIJ69l-gubQmoARTOs9w3FCP8E&q=Outdoor+wedding+venues+with+lodge,+94562,+California,+USA&authuser=0&hl=en&gl=US",1039.0,https://lh5.googleusercontent.com/p/AF1QipMqZQk8w42zyqnqQp_iXnFgUuSgqgYuSgPeub9i=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",Elegant antiques-filled rooms in a mansion & carriage house dating from 1899 on lush grounds.,ChIJ69l-gubQmoARTOs9w3FCP8E,frontdesk@vizcayasacramento.com,,,,,,,,,9165949825,9165949285,,,https://www.instagram.com/vizcayasac,,,Wedding Venue Sacramento,"Vizcaya Sacramento is a private estate in midtown Sacramento. Imagine an exquisite garden setting, nestled in midtown Sacramento, with an incredibly elegant Event Pavilion.","Sacramento Wedding Venue, Garden Weddings, Victorian Mansion, Victorian Wedding, Romantic Gardens, Romantic Weddings,  White Wedding, Greenery Wedding, Neutral Wedding, Minimalistic Wedding, Romantic Wedding, Outdoor Wedding, Indoor Wedding, Indoor Reception, Elegant Indoor Reception, Draping for Reception, Inclusive Wedding Venue, Midtown Wedding Venue, Sacramento Wedding Venue, Unique Wedding Venue, Soft Wedding Venue, Year-Round Wedding Venue, Spring Wedding Venue, Fall Wedding Venue, Summer Wedding Venue, Winter Wedding Venue, Indoor Dining, Outdoor Dining, Bridal Suite, Getting Ready Rooms, Wedding Hotel Accommodations, Wedding Venues with Rooms, Wedding Venues with Catering, BYOB Wedding Venues, Wedding Venues with Coordination, Wedding Venues with Brick Outdoors, Outdoor Receptions, Year Round Wedding Venue, Wedding Venue with Tent, Wedding Venue with Outdoor Reception, Wedding Venue with Lights, Sacramento Venue Market Lights"
"Outdoor wedding venues with lodge, 94019, California, USA",The Barn at Canyon Creek,https://www.thebarnatcanyoncreek.com/,Event venue,Event venue,+1 650-642-4141,"11631 San Mateo Rd, Half Moon Bay, CA 94019",Half Moon Bay,5.0,"https://search.google.com/local/reviews?placeid=ChIJH7P0Ycx1j4ARz6of4A8ntRg&q=Outdoor+wedding+venues+with+lodge,+94019,+California,+USA&authuser=0&hl=en&gl=US",26.0,https://lh5.googleusercontent.com/p/AF1QipPLD7z7rK9llI43iG0TxGwcoAZo41b7oFJCFxH6=w800-h500-k-no,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",,ChIJH7P0Ycx1j4ARz6of4A8ntRg,mail@canyoncreek.com,,,,,,,,,,,,,,,,,,
"Outdoor wedding venues with lodge, 94965, California, USA",Flood Mansion,https://www.floodmansion.org/,Event venue,Event venue,+1 415-292-3142,"2222 Broadway, San Francisco, CA 94115",San Francisco,4.8,"https://search.google.com/local/reviews?placeid=ChIJjaNJDsWAhYARpTzMWrvuiEI&q=Outdoor+wedding+venues+with+lodge,+94965,+California,+USA&authuser=0&hl=en&gl=US",78.0,https://lh5.googleusercontent.com/p/AF1QipOMpbXbGT8sHUD_LAZKUQ8V2qFEu6xl68zx7_HU=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,ChIJjaNJDsWAhYARpTzMWrvuiEI,info@floodmansion.org,,,j.devincenzi@floodmansion.org,Juli Devincenzi,,,,,,,,,,,,James Leary Flood Mansion,"With more than 6,000 square feet of event space, the James Leary Flood
Mansion is San Francisco's premier special events venue for evening and
weekend events. A symphony of architectural styles, the venue features a
number of flexible spaces for weddings and events for up to 299 guests,
with breathtaking views of the bay.",
"Outdoor wedding venues with lodge, 94019, California, USA",Miramar Farms,http://miramarfarms.com/,"Event venue, Event management company",Event venue,+1 650-265-2100,"420 Purisima Way, Half Moon Bay, CA 94018",Half Moon Bay,4.9,"https://search.google.com/local/reviews?placeid=ChIJr3F_2oNzj4AR1S9OQk5-fm8&q=Outdoor+wedding+venues+with+lodge,+94019,+California,+USA&authuser=0&hl=en&gl=US",59.0,https://lh5.googleusercontent.com/p/AF1QipMPXW3CgAeEDqr-_3CiWxQvj6_umllOrtnFlil0=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}",,ChIJr3F_2oNzj4AR1S9OQk5-fm8,jayne@miramarfarms.com,Jayne Battey,Owner,nicole@miramarfarms.com,Nicole Downing,Program Coordinator,mark@miramarfarms.com,Mark Battey,,,,,https://www.facebook.com/miramarfarmshmb/,https://www.instagram.com/miramar_farms,http://www.linkedin.com/company/3097301,,Miramar Farms | Gather. Learn. Grow.,,
"Mountain lodges with event space, 94507, California, USA",Belle Vie Vineyard,http://www.bellevievineyard.com/,"Event venue, Banquet hall, Corporate entertainment service, Party planner, Wedding venue",Event venue,+1 925-778-1900,"19900 Sherman Island Cross Rd, Rio Vista, CA 94571",Rio Vista,4.8,"https://search.google.com/local/reviews?placeid=ChIJ194NJ5RWhYARSFtk5rhxhnM&q=Mountain+lodges+with+event+space,+94507,+California,+USA&authuser=0&hl=en&gl=US",120.0,https://lh5.googleusercontent.com/p/AF1QipMtXSjgZiIGIKzPfctVzJ631aIYS6PYIXVSehfA=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",,ChIJ194NJ5RWhYARSFtk5rhxhnM,mara@bellevievineyard.com,,,,,,,,,+1 925-778-1900,9257781900,19257781900,https://www.facebook.com/BelleVieVineyardAndEventCenter,https://www.instagram.com/bellevievineyard,,,Homepage - Wedding Venues | California | Belle Vie Vineyard and Event Center,"Belle Vie Vineyard, located on Sherman Island in California’s historic Sacramento River Delta Offers Perfect Venue for Weddings & Corporate events",
"Outdoor wedding venues with lodge, 94576, California, USA",The Old Homestead,http://www.theoldhomestead.org/,"Wedding venue, Historical landmark, Event venue",Event venue,+1 510-660-5174,"995 Loring Ave, Crockett, CA 94525",Crockett,4.6,"https://search.google.com/local/reviews?placeid=ChIJ9WlUvHhxhYARat2g98M3iT0&q=Outdoor+wedding+venues+with+lodge,+94576,+California,+USA&authuser=0&hl=en&gl=US",437.0,https://lh5.googleusercontent.com/p/AF1QipPKWIrJuN77fMrDTq6Ednj2qN4vOcgx_zPBRcXe=w800-h500-k-no,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as women-owned"": true}}",,ChIJ9WlUvHhxhYARat2g98M3iT0,info@theoldhomestead.org,,,membership@theoldhomestead.org,,,events@theoldhomestead.org,,,15106605174,15108044636,,https://www.facebook.com/TheOldHomesteadinCrockett/,https://www.instagram.com/theoldhomesteadincrockett,,,The Old Homestead,"The beauty of The Old Homestead and Gardens, combined with its rich
heritage, makes this idyllic setting a popular venue for events, from
informal barbecues to elegant weddings.",
"Outdoor wedding venues with lodge, 94970, California, USA",The Newhall Nest,https://www.newhallnest.com/,Event venue,Event venue,+1 415-395-9701,"260 California St Penthouse, San Francisco, CA 94111",San Francisco,5.0,"https://search.google.com/local/reviews?placeid=ChIJEwAAQGCAhYARvnEcUyypEqw&q=Outdoor+wedding+venues+with+lodge,+94970,+California,+USA&authuser=0&hl=en&gl=US",46.0,https://lh5.googleusercontent.com/p/AF1QipMc10o1RHUiGRLXisB2H9muEWIS4LBH33iXDhMQ=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",,ChIJEwAAQGCAhYARvnEcUyypEqw,newhallnest@swiftrp.com,,,,,,,,,14153959701,,,https://www.facebook.com/thenewhallnest,https://www.instagram.com/thenewhallnest,,,The Newhall Nest,"Private Rooftop Venue and Event Space in Downtown San Francisco, CA.",
"Mountain lodges with event space, 95060, California, USA",Sparrow Valley Retreat,https://www.sparrowvalleyretreat.com/,"Event venue, Wedding venue",Event venue,+1 831-331-3916,"2715 Sparrow Valley Rd, Aptos, CA 95003",Aptos,4.7,"https://search.google.com/local/reviews?placeid=ChIJJYpx1fI9joARBwhK-03G_Hs&q=Mountain+lodges+with+event+space,+95060,+California,+USA&authuser=0&hl=en&gl=US",48.0,https://lh5.googleusercontent.com/p/AF1QipOdYAkHFDRpW2NaAjn6FNZ12TCMNh1OKfnVxiM7=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}",,ChIJJYpx1fI9joARBwhK-03G_Hs,info@cmmintl.com,,,,,,,,,,,,https://www.facebook.com/sparrowvalleyretreat,https://www.instagram.com/sparrowvalleyretreat,,,Home | SVR,,
"Outdoor wedding venues with lodge, 94576, California, USA",Brownstone Gardens,http://www.brownstonegardens.com/,Event venue,Event venue,+1 925-418-4532,"91 Brownstone Rd, Oakley, CA 94561",Oakley,4.6,https://search.google.com/local/reviews?placeid=ChIJ6Thk2z__j4ARfxCW_DMzrqc&q=*&authuser=0&hl=en&gl=US,178.0,https://lh5.googleusercontent.com/p/AF1QipM_Ajmoj3w3YlXVgkRljQPwdSLaGJqDvwLkPKq5=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}",,ChIJ6Thk2z__j4ARfxCW_DMzrqc,kk@brownstonegardens.com,Kaykay Hines,Manager,info@brownstonegardens.com,,,k.hines@brownstonegardens.com,Karen Hines,,5262368954732,3218887890123,,,,http://www.linkedin.com/company/5813091,,Home || Brownstone Gardens,,
"Outdoor wedding venues with lodge, 95442, California, USA",The Barn at Harrow Cellars,https://thebarnatharrowcellars.com/,Event venue,Event venue,+1 707-933-3010,"150 Wagner Rd, Sonoma, CA 95476",Sonoma,4.7,"https://search.google.com/local/reviews?placeid=ChIJW36DRE6vhYARND_b3dha9PA&q=Outdoor+wedding+venues+with+lodge,+95442,+California,+USA&authuser=0&hl=en&gl=US",83.0,https://lh5.googleusercontent.com/p/AF1QipPx6nVqqYhHuLJWyuwG8kN9mFv8wkTS3HCKRqC_=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,ChIJW36DRE6vhYARND_b3dha9PA,events@thebarnatharrowcellars.com,,,sonomasbesthg@glodownead.com,,,,,,7079333010,,,https://www.facebook.com/thebarnatharrowcellars/,https://www.instagram.com/thebarnatharrowcellars,,,The Barn At Harrow Cellars - The Barn At Harrow Cellars,"Surrounded by lush vineyards and spectacular valley vistas, The Barn at Harrow Cellars offers three versatile venues to create an exquisite atmosphere for an",
"Outdoor wedding venues with lodge, 94611, California, USA",Piedmont Community Hall,https://www.ci.piedmont.ca.us/,Event venue,Event venue,+1 510-420-3081,"711 Highland Ave, Piedmont, CA 94611",Piedmont,4.8,"https://search.google.com/local/reviews?placeid=ChIJByJiN3uHj4AR7f3MIO4MwtE&q=Outdoor+wedding+venues+with+lodge,+94611,+California,+USA&authuser=0&hl=en&gl=US",36.0,https://lh5.googleusercontent.com/p/AF1QipMJgVi85_WC9fDoW_pOW0seWcDNxMAn7Dpf2exF=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,ChIJByJiN3uHj4AR7f3MIO4MwtE,dfrankel@ci.piedmont.ca.us,Dave Frankel,Public Works Supervisor,erivera@ci.piedmont.ca.us,Erin Rivera,Recreation Supervisor,mfujioka@ci.piedmont.ca.us,Margaret Fujioka,Partner,+1 510-420-3040,,,https://facebook.com/piedmontca,,,https://twitter.com/piedmontcagov,Home - City of Piedmont,,
"Outdoor wedding venues with lodge, 94562, California, USA",De Luna Ranch Event Venue,https://www.facebook.com/profile.php?id=100067013498957,"Event venue, Farm",Event venue,+1 925-437-2289,"7540 Balfour Rd, Brentwood, CA 94513",Brentwood,4.7,"https://search.google.com/local/reviews?placeid=ChIJe4IALuX9j4ARsmGp-gHgJ0k&q=Outdoor+wedding+venues+with+lodge,+94562,+California,+USA&authuser=0&hl=en&gl=US",120.0,https://lh5.googleusercontent.com/p/AF1QipNtXyOV9KH6RLQHc2jIpf4aakPPQBNwrOBpPz1e=w800-h500-k-no,"{""From the business"": {""Identifies as Latino-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as Latino-owned"": true}}",,ChIJe4IALuX9j4ARsmGp-gHgJ0k,,,,,,,,,,,,,,,,,,,
"Outdoor wedding venues with lodge, 94512, California, USA",The Willow Ballroom & Event Center,http://www.thewillowballroom.com/,"Wedding venue, Event venue",Event venue,+1 916-209-0309,"10724 CA-160, Hood, CA 95639",Hood,4.8,"https://search.google.com/local/reviews?placeid=ChIJM1BFr5TJmoARujBNMbm0VUM&q=Outdoor+wedding+venues+with+lodge,+94512,+California,+USA&authuser=0&hl=en&gl=US",313.0,https://lh5.googleusercontent.com/p/AF1QipM9rUcCvOEDmsRLeeKkDE82UNo1_UIqYqCjmTFz=w800-h500-k-no,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as women-owned"": true}}",,ChIJM1BFr5TJmoARujBNMbm0VUM,info@thewillowballroom.com,,,,,,,,,,,,http://www.facebook.com/thewillowballroom,http://instagram.com/thewillowballroom,http://linkedin.com/company/the-willow-ballroom-event-center,http://www.twitter.com/willowballroom/,The Willow Ballroom The Willow Ballroom,,
"Mountain lodges with event space, 94022, California, USA",Green Mountain Retreat,http://www.greenmountainretreat.com/,"Event venue, Conference center, Summer camp, Wedding venue",Event venue,+1 669-269-8811,"19480 Bear Creek Rd, Los Gatos, CA 95033",Los Gatos,4.8,"https://search.google.com/local/reviews?placeid=ChIJp8lMjHBJjoARMm8UDpMmIpw&q=Mountain+lodges+with+event+space,+94022,+California,+USA&authuser=0&hl=en&gl=US",137.0,https://lh5.googleusercontent.com/p/AF1QipOUdCIH91oi1ePiFvh_tGe-RC7cAvqshsdFXijq=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}",,ChIJp8lMjHBJjoARMm8UDpMmIpw,info@greenmountainretreat.com,,,,,,,,,16692698811,,,https://www.facebook.com/GreenMtnRetreat/,,,,,,
"Outdoor wedding venues with lodge, 94576, California, USA",Vine Hill House,http://www.vinehillhouse.com/,Event venue,Event venue,+1 707-823-8590,"3601 Vine Hill Rd, Sebastopol, CA 95472",Sebastopol,4.8,"https://search.google.com/local/reviews?placeid=ChIJK3Ryug47hIAROwyx2GfHMxg&q=Outdoor+wedding+venues+with+lodge,+94576,+California,+USA&authuser=0&hl=en&gl=US",173.0,https://lh5.googleusercontent.com/p/AF1QipPJGFSivSLktjrpqoq2QNCMkrCBJLoei0AQAW-U=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,ChIJK3Ryug47hIAROwyx2GfHMxg,njordan@vinehillhouse.com,nancy jordan,Marketing Manager,tkurpius@vinehillhouse.com,tim kurpius,Marketing Consultant,wswank@vinehillhouse.com,william swank,President,+1 707-823-8590,,,https://www.facebook.com/VineHillHouse/,https://www.instagram.com/vinehillhouse,,,Vine Hill House at O'Connell Vineyards | Sonoma Wine Country Weddings,Vine Hill House is your best choice for Sonoma Wine Country Weddings.,
"Mountain lodges with event space, 94611, California, USA",Leona Lodge,https://www.oaklandca.gov/topics/leona-lodge,Event venue,Event venue,+1 510-238-3187,"4444 Mountain Blvd, Oakland, CA 94619",Oakland,4.6,"https://search.google.com/local/reviews?placeid=ChIJWejRu7GAj4ARA7WKzlwMCUk&q=Mountain+lodges+with+event+space,+94611,+California,+USA&authuser=0&hl=en&gl=US",109.0,https://lh5.googleusercontent.com/p/AF1QipNrdaq5MMTPJqJJP3oebX5sctYoI2JRDEmz6TxJ=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,ChIJWejRu7GAj4ARA7WKzlwMCUk,greatplates@oaklandca.gov,,,info@oaklandca.gov,,,fpbreceptionist@oaklandca.gov,,,5106155566,15106155566,311,https://www.facebook.com/oakland/,https://www.instagram.com/oakland,,https://www.twitter.com/oakland,City of Oakland | Studio One Art Center,"The official website of the City of Oakland. Find out about meetings, request City services through OAK 311, or contact the Mayor and City Council.","city, oakland, government"
"Mountain lodges with event space, 94019, California, USA",Saratoga Springs Events & Weddings,http://saratoga-springs.com/,Event venue,Event venue,+1 408-867-9999,"22801 Big Basin Wy, Saratoga, CA 95070",Saratoga,4.5,"https://search.google.com/local/reviews?placeid=ChIJJWRptkNLjoAR6j6tGdfLt14&q=Mountain+lodges+with+event+space,+94019,+California,+USA&authuser=0&hl=en&gl=US",1217.0,https://lh5.googleusercontent.com/p/AF1QipPXQJh-kho6Wn1bmtsXukVQ_4g6TOhgz1kWnqS3=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}",,ChIJJWRptkNLjoAR6j6tGdfLt14,ccobb@saratoga-springs.com,Catherine Cobb,Sales Executive,mimi@saratoga-springs.com,Mimi Giannini,Director-Human Resources,william@saratoga-springs.com,William Giannini,Owner Human Resources Executives,,,,http://facebook.com/saratogaspringspicnics,,http://www.linkedin.com/company/9836318,,Home | Saratoga Springs,,"Campground, Lodging, Park, &middot;"
"Outdoor wedding venues with lodge, 94970, California, USA",Wildwood Acres Resort,http://www.wildwoodacres.com/,Event venue,Event venue,+1 925-283-2600,"1055 Hunsaker Canyon Rd, Lafayette, CA 94549",Lafayette,4.7,"https://search.google.com/local/reviews?placeid=ChIJWW9a2yaKj4ARmGoRTl_9vHo&q=Outdoor+wedding+venues+with+lodge,+94970,+California,+USA&authuser=0&hl=en&gl=US",103.0,https://lh5.googleusercontent.com/p/AF1QipNS0erH5c9EKM-63cvppkaxwgDkDz8eQf4J5MTU=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",,ChIJWW9a2yaKj4ARmGoRTl_9vHo,events@wildwoodacres.com,Dan Jegers,Owner,tahern@wildwoodacres.com,timothy ahern,Owner,mazane@wildwoodacres.com,mary zane,Vice President Marketing,8443327076,,,https://www.facebook.com/pages/Wildwood-Acres-Resort/338331050297,https://www.instagram.com/wildwoodacresresort,http://www.linkedin.com/company/4013644,https://twitter.com/wildwoodacres,Wildwood Acres Resort - Wildwood Acres Resort,Bay Area Outdoor Wedding &amp;amp;amp; Event Venue,"Bay Area, Outdoor Wedding, Wedding, Event Venue, Venue"
"Outdoor wedding venues with lodge, 95687, California, USA",Saturday Club of Vacaville,https://saturdayclubvacaville.com/,Event venue,Event venue,+1 707-761-7108,"125 W Kendal St, Vacaville, CA 95688",Vacaville,4.5,"https://search.google.com/local/reviews?placeid=ChIJwfYM3_8XhYARAC4RAs-Vh4o&q=Outdoor+wedding+venues+with+lodge,+95687,+California,+USA&authuser=0&hl=en&gl=US",27.0,https://lh5.googleusercontent.com/p/AF1QipPiM7esCbf4wnLGrdRXlJpy1jpzQCM6acBtiVKH=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,ChIJwfYM3_8XhYARAC4RAs-Vh4o,president@saturdayclubvacaville.com,,,,,,,,,,,,,,,,Saturday Club of Vacaville,,
"Outdoor wedding venues with lodge, 94022, California, USA",Blanco Urban Venue,http://blancourbanvenue.com/,Event venue,Event venue,+1 408-477-2424,"12 N San Pedro St, San Jose, CA 95110",San Jose,4.8,"https://search.google.com/local/reviews?placeid=ChIJP1AjXH_Nj4ARBc8-y45O_dI&q=Outdoor+wedding+venues+with+lodge,+94022,+California,+USA&authuser=0&hl=en&gl=US",89.0,https://lh5.googleusercontent.com/p/AF1QipOD-4JbuZ3V-TEG5BXAcBBv16R_5V3-RHozG92X=w800-h500-k-no,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}, ""Other"": {""Identifies as women-owned"": true}}",,ChIJP1AjXH_Nj4ARBc8-y45O_dI,info@blancourbanvenue.com,,,,,,,,,4084772424,4084772424,1,https://www.facebook.com/101409698118985,https://www.instagram.com/blancourbanvenue,,,"Blanco Urban Venue - San Pedro Square, San Jose , CA",,
"Mountain lodges with event space, 94019, California, USA",The Mountain Terrace,https://www.themountainterrace.com/,"Event venue, Catering food and drink supplier, Caterer, Corporate entertainment service, Funeral celebrant service, Memorial, Outdoor activity organiser, Retreat center, Wedding venue, Wellness center",Event venue,+1 650-851-1606,"17285 Skyline Blvd, Woodside, CA 94062",Woodside,4.6,"https://search.google.com/local/reviews?placeid=ChIJLZCSidilj4ARimEUT8v_yyQ&q=Mountain+lodges+with+event+space,+94019,+California,+USA&authuser=0&hl=en&gl=US",475.0,https://lh5.googleusercontent.com/p/AF1QipMRQc0cEaymcGIQyeW-ue_9NT3JUf0ALcvvPQ0-=w800-h500-k-no,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}, ""Other"": {""Identifies as women-owned"": true}}",,ChIJLZCSidilj4ARimEUT8v_yyQ,info@themountainterrace.com,Unknown Unknown,Principal,denise@themountainterrace.com,Denise Janny,Event Coordinator,sales@themountainterrace.com,,,6508511606,18881234567,18881234568,http://www.facebook.com/MountainTerrace,https://www.instagram.com/mountainterrace,http://www.linkedin.com/company/2740980,,Home - The Mountain Terrace at Woodside,"When experiencing The Mountain Terrace, the rest of the world seemingly disappears. Stunning, natural beauty. Majestic redwoods. Expansive meadow. Rustic and",
"Outdoor wedding venues with lodge, 95687, California, USA",Harbison Event Center At The Nut Tree,,Event venue,Event venue,,"1681 E Monte Vista Ave, Vacaville, CA 95688",Vacaville,5.0,"https://search.google.com/local/reviews?placeid=ChIJDZMQaM0ihYAR59_fo-sCcCQ&q=Outdoor+wedding+venues+with+lodge,+95687,+California,+USA&authuser=0&hl=en&gl=US",9.0,https://lh5.googleusercontent.com/p/AF1QipPWV-Mt59G8m6CrGXZ1eW8ShM8J22qQOq1ndIAt=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,ChIJDZMQaM0ihYAR59_fo-sCcCQ,,,,,,,,,,,,,,,,,,,
"Outdoor wedding venues with lodge, 95404, California, USA",Griffith Woods,,Event venue,Event venue,,"1881 Laguna Rd, Santa Rosa, CA 95401",Santa Rosa,5.0,"https://search.google.com/local/reviews?placeid=ChIJNU0VmYI7hIARrvledPDV-74&q=Outdoor+wedding+venues+with+lodge,+95404,+California,+USA&authuser=0&hl=en&gl=US",46.0,https://lh5.googleusercontent.com/p/AF1QipM4Kz9v6HzAImuwcyBvoTFAU3GakCOZPeB2reEh=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,ChIJNU0VmYI7hIARrvledPDV-74,,,,,,,,,,,,,,,,,,,
"Outdoor wedding venues with lodge, 94020, California, USA",Allied Arts Guild,https://www.alliedartsguild.org/,"Event venue, Art studio, Garden, Historical landmark",Event venue,+1 650-322-2405,"75 Arbor Rd, Menlo Park, CA 94025",Menlo Park,4.7,"https://search.google.com/local/reviews?placeid=ChIJz3wetsukj4ARcmyxhlgVlGQ&q=Outdoor+wedding+venues+with+lodge,+94020,+California,+USA&authuser=0&hl=en&gl=US",2280.0,https://lh5.googleusercontent.com/p/AF1QipPSskYuJMVQx4rZ4oCOYnsNAMiGg7ncyEJ2thvI=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}","Landmark 1929 complex featuring art studios, stores, a cafe & a variety of established gardens.",ChIJz3wetsukj4ARcmyxhlgVlGQ,tiana@alliedartsguild.org,Tiana Wong,Events And Marketing Director,events@alliedartsguild.org,,,membership@alliedartsguild.org,,,6503222405,6508389002,6503252450,https://www.facebook.com/AlliedArtsGuild/,https://www.instagram.com/alliedartsguild,http://www.linkedin.com/company/5659112,,Home - Allied Arts Guild | Menlo Park,,
